model,variable,coef,se,t,p
OLS,CONSTANT,55.142944899015326,2.8107735194264256,19.618423369189827,1.1237944590715787e-79
OLS,lst_c,-1.7446151253927342,0.08811178785968342,-19.800019586153503,5.091831883566203e-81
OLS,dw_built,14.581828376722406,0.8445458645142062,17.26588097747665,4.2022765169718846e-63
OLS,pop_density,7.459358792626198e-05,6.93241176634802e-05,1.0760120783413551,0.2820285404181423
OLS,poverty,0.07208733352299757,0.01076380696856791,6.697196794173702,2.6295604849899623e-11
SpatialLag,CONSTANT,33.762965839072194,3.583633202687148,9.421434597088622,4.449662951930931e-21
SpatialLag,lst_c,-1.0767113593180482,0.1121326739272935,-9.602119717721035,7.8316940055452585e-22
SpatialLag,dw_built,7.690941139689811,1.1191850752410761,6.871911813185283,6.334711369998742e-12
SpatialLag,pop_density,-6.190018662409341e-06,6.118324105287127e-05,-0.10117180057624374,0.9194140817151586
SpatialLag,poverty,0.030552985416225854,0.010664792176352515,2.864845832061524,0.004172123079352784
SpatialLag,W_canopy (rho),0.5475379317365953,0.06702403036451883,8.169277925525213,3.102407025064071e-16
SpatialError,CONSTANT,58.55103041831057,3.7952959692877353,15.427263352349003,1.0732555368248204e-53
SpatialError,lst_c,-1.723518656032487,0.11869142024788772,-14.521004571627069,8.919344850857375e-48
SpatialError,dw_built,8.969191187490535,1.037060384549746,8.648668217506577,5.210390488945232e-18
SpatialError,pop_density,-4.724194232391562e-05,7.363288611895832e-05,-0.6415875407571753,0.5211410247755354
SpatialError,poverty,0.07196478023153519,0.019442626570203517,3.701391886105741,0.00021442001550462522
SpatialError,lambda,,,,
