,canopy_pct,tree_count,lst_c,dw_built,road_pct,sidewalk_pct,pop_density,poverty,income_proxy,value_per_acre,near_park_m,near_bike_m
canopy_pct,0.0,0.0,1.0596066371046544e-53,3.5740330359586625e-50,0.8726953775539894,0.5927465788182734,1.6471911068690145e-43,2.387546239118808e-25,3.831999481631662e-12,5.635644230347984e-49,7.934913896150411e-18,0.006020083870201512
tree_count,0.0,0.0,2.738298770432529e-29,7.159359289091878e-81,0.14670432045087628,0.8999776520280078,1.589323191066256e-54,4.219841868491018e-23,1.1961687659892736e-13,8.696374012198435e-31,1.2565349119314997e-15,0.1928774207361902
lst_c,1.0596066371046544e-53,2.738298770432529e-29,0.0,1.337183669249599e-12,0.2693903867626619,0.0014094959022838576,0.026800355311025637,2.2016219478018256e-05,2.2540040262590324e-13,0.22593911064273,6.323163566803008e-33,0.00515012327259013
dw_built,3.5740330359586625e-50,7.159359289091878e-81,1.337183669249599e-12,0.0,0.9655401084600037,0.6267463328921092,2.0161883354057895e-100,0.06548203481324107,0.0003204315068761514,1.843052676967059e-07,6.202864275576351e-08,0.003320584159192227
road_pct,0.8726953775539894,0.14670432045087628,0.2693903867626619,0.9655401084600037,0.0,0.0003492062571649108,0.37177886098963076,0.07669184197931823,0.014174793325899937,0.004780588668915234,0.2984204917669329,0.3106158937900028
sidewalk_pct,0.5927465788182734,0.8999776520280078,0.0014094959022838576,0.6267463328921092,0.0003492062571649108,0.0,0.0024840295781853594,2.311331410038784e-11,0.00010442904706567436,0.48581775285596485,0.4743505771615889,0.06204187471980909
pop_density,1.6471911068690145e-43,1.589323191066256e-54,0.026800355311025637,2.0161883354057895e-100,0.37177886098963076,0.0024840295781853594,0.0,3.1562243042480283e-31,2.992826718782304e-42,0.0519194885023677,5.416495545736834e-08,0.0006477795469621324
poverty,2.387546239118808e-25,4.219841868491018e-23,2.2016219478018256e-05,0.06548203481324107,0.07669184197931823,2.311331410038784e-11,3.1562243042480283e-31,0.0,9.73713571859368e-31,7.053381502654487e-07,3.535206291249463e-05,0.0009264582178746493
income_proxy,3.831999481631662e-12,1.1961687659892736e-13,2.2540040262590324e-13,0.0003204315068761514,0.014174793325899937,0.00010442904706567436,2.992826718782304e-42,9.73713571859368e-31,0.0,1.455624044175454e-43,0.08688049443277583,0.4173124125289718
value_per_acre,5.635644230347984e-49,8.696374012198435e-31,0.22593911064273,1.843052676967059e-07,0.004780588668915234,0.48581775285596485,0.0519194885023677,7.053381502654487e-07,1.455624044175454e-43,0.0,4.909041926904468e-07,1.6299622227396482e-15
near_park_m,7.934913896150411e-18,1.2565349119314997e-15,6.323163566803008e-33,6.202864275576351e-08,0.2984204917669329,0.4743505771615889,5.416495545736834e-08,3.535206291249463e-05,0.08688049443277583,4.909041926904468e-07,0.0,1.7360752765044961e-25
near_bike_m,0.006020083870201512,0.1928774207361902,0.00515012327259013,0.003320584159192227,0.3106158937900028,0.06204187471980909,0.0006477795469621324,0.0009264582178746493,0.4173124125289718,1.6299622227396482e-15,1.7360752765044961e-25,0.0
