variable,label,rho,q,stars
tree_count,Tree count,0.9014707113795042,0.0,***
value_per_acre,Value/acre,-0.34235619828967945,5.313607417185242e-48,***
lst_c,LST (°C),-0.2927529214180316,1.3986807609781439e-52,***
dw_built,DW built,0.2795936786295074,3.931436339554529e-49,***
pop_density,Pop. density,0.2627869320457968,1.2079401450372774e-42,***
poverty,Poverty,0.20740857468500645,9.269297163637726e-25,***
income_proxy,Income,-0.17063508702807073,1.0116478631507588e-11,***
near_park_m,Dist. park,-0.16362965674784374,2.7563385112943532e-17,***
near_bike_m,Dist. bike,-0.052575735427512524,0.00903012580530227,**
sidewalk_pct,Sidewalk %,0.011922212035615283,0.6309882935807426,
road_pct,Road %,-0.003571823998046515,0.8999671081025515,
